,az_start,data_type,fch1,foff,ibeam,machine_id,nbeams,nbits,nchans,nifs,rawdatafile,source_name,src_dej,src_raj,telescope_id,tsamp,tstart,za_start
0,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d51m03.96s,5h42m36.768s,6,18.253611008,58806.077002314814,0.0
1,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d51m03.96s,5h42m36.768s,6,1.0737418239999998,58806.077002314814,0.0
2,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C353,0d01m08.04s,17h20m29.496s,6,18.253611008,58845.601747685185,0.0
3,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,49d51m51.84s,5h42m33.096s,6,0.000349525333333333,58921.72145833333,0.0
4,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C48,34d08m57.48s,1h37m46.56s,6,18.253611008,58570.735439814816,0.0
5,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d12m46.8s,3h58m55.368s,6,18.253611008,58532.67306712963,0.0
6,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C286,31d30m06.48s,13h31m05.568s,6,18.253611008,58743.90660879629,0.0
7,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,49d51m10.08s,5h42m36.024s,6,0.0003495253333333333,58692.79215277778,0.0
8,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d10m19.92s,14h11m09.264s,6,18.253611008,58642.0240162037,0.0
9,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C48,34d08m57.48s,1h37m46.56s,6,1.0737418239999998,58570.735439814816,0.0
10,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d14m00.24s,14h11m41.16s,6,1.0737418239999998,58642.02233796296,0.0
11,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d50m59.64s,5h42m42.912s,6,18.253611008,58806.07861111111,0.0
12,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C48,33d09m43.2s,1h37m40.872s,6,0.0003495253333333333,58570.73368055555,0.0
13,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C48,34d08m57.48s,1h37m46.56s,6,0.0003495253333333333,58570.735439814816,0.0
14,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,49d51m04.68s,5h42m36.048s,6,0.0003495253333333333,58692.773981481485,0.0
15,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d14m03.12s,14h11m15.768s,6,18.253611008,58667.34997685185,0.0
16,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d55m00.12s,20h23m03.264s,6,0.0003495253333333333,58667.1541087963,0.0
17,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m57.24s,20h23m03.624s,6,0.0003495253333333333,58737.94384259259,0.0
18,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C196,49d13m02.28s,8h13m36.072s,6,0.0003495253333333333,58734.767847222225,0.0
19,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,-536870912,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,18.253611008,58616.057662037034,0.0
20,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C196,49d13m02.28s,8h13m36.072s,6,1.0737418239999998,58734.767847222225,0.0
21,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d51m06.48s,5h42m36.072s,6,0.0003495253333333333,58779.15831018519,0.0
22,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m09s,14h11m20.568s,6,0.0003495253333333333,58702.18717592592,0.0
23,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d51m03.96s,5h42m36.768s,6,0.0003495253333333333,58806.077002314814,0.0
24,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m09s,14h11m20.568s,6,1.0737418239999998,58702.18717592592,0.0
25,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,49d51m51.84s,5h42m33.096s,6,1.073741823999999,58921.72145833333,0.0
26,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,3C295,52d11m38.76s,14h11m19.104s,6,0.0003495253333333333,58616.448854166665,0.0
27,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d29m54.24s,13h31m01.872s,6,18.253611008,58733.95710648148,0.0
28,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B2021+51,51d54m48.96s,20h22m49.704s,6,18.253611008,58743.91260416667,0.0
29,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C286,30d30m48.6s,13h31m06.912s,6,18.253611008,58743.90497685185,0.0
30,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d50m55.68s,5h42m32.544s,6,18.253611008,58692.775613425925,0.0
31,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d50m55.68s,5h42m32.544s,6,1.0737418239999998,58692.775613425925,0.0
32,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,50d50m55.68s,5h42m32.544s,6,0.0003495253333333333,58692.775613425925,0.0
33,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d17m26.88s,14h11m17.472s,6,1.0737418239999998,58702.25212962963,0.0
34,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,30d30m48.96s,13h31m10.944s,6,18.253611008,58734.93146990741,0.0
35,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d29m54.24s,13h31m01.872s,6,0.0003495253333333333,58733.95710648148,0.0
36,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d12m14.4s,14h11m22.008s,6,18.253611008,58702.188784722224,0.0
37,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d29m54.24s,13h31m01.872s,6,1.0737418239999998,58733.95710648148,0.0
38,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d51m06.48s,5h42m36s,6,18.253611007999982,58921.72454861111,0.0
39,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m19.92s,14h11m09.264s,6,0.0003495253333333333,58642.0240162037,0.0
40,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d10m19.92s,14h11m09.264s,6,1.0737418239999998,58642.0240162037,0.0
41,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C286,30d31m50.16s,13h31m18.192s,6,0.0003495253333333333,58623.22162037037,0.0
42,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d50m59.64s,5h42m42.912s,6,1.0737418239999998,58806.07861111111,0.0
43,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d14m03.12s,14h11m15.768s,6,0.0003495253333333333,58667.34997685185,0.0
44,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d50m59.64s,5h42m42.912s,6,0.0003495253333333333,58806.07861111111,0.0
45,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d14m03.12s,14h11m15.768s,6,1.0737418239999998,58667.34997685185,0.0
46,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,30d30m48.96s,13h31m10.944s,6,0.0003495253333333333,58734.93146990741,0.0
47,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,30d30m48.96s,13h31m10.944s,6,1.0737418239999998,58734.93146990741,0.0
48,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d12m14.4s,14h11m22.008s,6,0.0003495253333333333,58702.188784722224,0.0
49,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,50d51m06.48s,5h42m36s,6,0.000349525333333333,58921.72454861111,0.0
50,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d12m14.4s,14h11m22.008s,6,1.0737418239999998,58702.188784722224,0.0
51,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d51m06.48s,5h42m36s,6,1.073741823999999,58921.72454861111,0.0
52,0.0,1,11251.28173828125,-0.3662109375,,20,,32,28672,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,0.0003495253333333333,58616.057662037034,0.0
53,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,3670016,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,1.0737418239999998,58616.057662037034,0.0
54,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,28672,1,,PSR_B0950+08,4d29m24.72s,11h13m30.288s,6,0.0003495253333333333,58616.057662037034,0.0
55,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m32.4s,13h31m08.208s,6,18.253611008,58733.95861111111,0.0
56,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d51m07.2s,5h42m36.096s,6,18.253611008,58806.08013888889,0.0
57,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d51m07.2s,5h42m36.096s,6,1.0737418239999998,58806.08013888889,0.0
58,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C295,52d11m38.76s,14h11m19.104s,6,18.253611008,58616.448854166665,0.0
59,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d51m07.2s,5h42m36.096s,6,0.0003495253333333333,58806.08013888889,0.0
60,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m23.16s,14h11m10.2s,6,0.0003495253333333333,58642.30260416667,0.0
61,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d10m16.68s,14h11m18.216s,6,18.253611008,58667.3515625,0.0
62,0.0,1,3151.4634132385254,-0.00286102294921875,,20,,32,524288,1,,3C295,52d11m38.76s,14h11m19.104s,6,1.0737418239999998,58616.448854166665,0.0
63,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m25.2s,13h31m08.664s,6,18.253611008,58734.93311342593,0.0
64,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m32.4s,13h31m08.208s,6,0.0003495253333333333,58733.95861111111,0.0
65,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m32.4s,13h31m08.208s,6,1.0737418239999998,58733.95861111111,0.0
66,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,50d49m19.92s,5h42m48.984s,6,18.253611007999982,58921.72305555556,0.0
67,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d12m28.08s,14h11m23.664s,6,18.253611008,58702.20313657408,0.0
68,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58570.73842592593,0.0
69,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C295,53d09m56.88s,14h11m08.544s,6,18.253611008,58616.45045138889,0.0
70,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d10m16.68s,14h11m18.216s,6,0.0003495253333333333,58667.3515625,0.0
71,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d10m16.68s,14h11m18.216s,6,1.0737418239999998,58667.3515625,0.0
72,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,3C295,53d09m56.88s,14h11m08.544s,6,0.0003495253333333333,58616.45045138889,0.0
73,0.0,1,3151.4634132385254,-0.00286102294921875,,20,,32,524288,1,,3C295,53d09m56.88s,14h11m08.544s,6,1.0737418239999998,58616.45045138889,0.0
74,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m25.2s,13h31m08.664s,6,0.0003495253333333333,58734.93311342593,0.0
75,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m25.2s,13h31m08.664s,6,1.0737418239999998,58734.93311342593,0.0
76,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C147,50d49m19.92s,5h42m48.984s,6,0.000349525333333333,58921.72305555556,0.0
77,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m28.08s,14h11m23.664s,6,0.0003495253333333333,58702.20313657408,0.0
78,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C147,50d49m19.92s,5h42m48.984s,6,1.073741823999999,58921.72305555556,0.0
79,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m28.08s,14h11m23.664s,6,1.0737418239999998,58702.20313657408,0.0
80,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d50m58.56s,5h42m37.512s,6,18.253611008,58779.15074074074,0.0
81,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d50m58.56s,5h42m37.512s,6,1.0737418239999998,58779.15074074074,0.0
82,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58570.73842592593,0.0
83,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58570.73842592593,0.0
84,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58692.77783564815,0.0
85,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d50m58.56s,5h42m37.512s,6,0.0003495253333333333,58779.15074074074,0.0
86,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,18.253611008,58616.45375,0.0
87,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58570.73842592593,0.0
88,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,18.253611008,58642.03603009259,0.0
89,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C286,31d30m33.12s,13h31m08.256s,6,18.253611008,58734.93461805556,0.0
90,0.0,1,3151.28173828125,-0.3662109375,,20,,32,4096,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58616.45375,0.0
91,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d13m52.32s,14h11m22.104s,6,18.253611007999982,58921.334016203706,0.0
92,0.0,1,3151.4634132385254,-0.00286102294921875,,20,,32,524288,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58616.45375,0.0
93,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d11m19.68s,14h11m11.232s,6,18.253611008,58702.204733796294,0.0
94,0.0,1,3151.28173828125,-0.3662109375,0.0,10,0.0,8,4096,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58616.45375,0.0
95,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,18.253611008,58806.08243055556,0.0
96,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d51m06.48s,5h42m36.072s,6,18.253611008,58779.15831018519,0.0
97,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C286,31d30m33.12s,13h31m08.256s,6,0.0003495253333333333,58734.93461805556,0.0
98,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d51m06.48s,5h42m36.072s,6,1.0737418239999998,58779.15831018519,0.0
99,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C286,31d30m33.12s,13h31m08.256s,6,1.0737418239999998,58734.93461805556,0.0
100,0.0,1,3151.464842353016,-2.7939677238464355e-06,,20,,32,536870912,1,,3C48,33d09m21.6s,1h37m36.984s,6,18.253611008,58703.47752314815,0.0
101,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C295,52d13m52.32s,14h11m22.104s,6,0.000349525333333333,58921.334016203706,0.0
102,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d13m52.32s,14h11m22.104s,6,1.073741823999999,58921.334016203706,0.0
103,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,53d11m19.68s,14h11m11.232s,6,0.0003495253333333333,58702.204733796294,0.0
104,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,49d51m07.2s,5h42m36.048s,6,18.253611008,58595.17391203704,0.0
105,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d11m19.68s,14h11m11.232s,6,1.0737418239999998,58702.204733796294,0.0
106,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,49d51m07.2s,5h42m36.048s,6,1.0737418239999998,58595.17391203704,0.0
107,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,49d51m07.2s,5h42m36.048s,6,0.0003495253333333333,58595.17391203704,0.0
108,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58692.77783564815,0.0
109,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,1.0737418239999998,58692.77783564815,0.0
110,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C286,30d30m41.76s,13h31m08.784s,6,18.253611008,58616.018530092595,0.0
111,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,0.0003495253333333333,58642.03603009259,0.0
112,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B0355+54,54d13m14.16s,3h58m53.616s,6,0.0003495253333333333,58692.77783564815,0.0
113,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,1.0737418239999998,58642.03603009259,0.0
114,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,0.0003495253333333333,58806.08243055556,0.0
115,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,1.0737418239999998,58806.08243055556,0.0
116,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d50m36.6s,5h42m44.04s,6,18.253611008,58779.15998842593,0.0
117,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d50m36.6s,5h42m44.04s,6,1.0737418239999998,58779.15998842593,0.0
118,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,18.253611008,58733.96974537037,0.0
119,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C286,30d30m41.76s,13h31m08.784s,6,0.0003495253333333333,58616.018530092595,0.0
120,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C286,30d30m41.76s,13h31m08.784s,6,1.0737418239999998,58616.018530092595,0.0
121,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B1133+16,15d51m07.2s,11h36m02.208s,6,0.0003495253333333333,58642.03603009259,0.0
122,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d50m36.6s,5h42m44.04s,6,0.0003495253333333333,58779.15998842593,0.0
123,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d48m55.44s,5h42m30.264s,6,18.253611008,58595.17549768519,0.0
124,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d48m55.44s,5h42m30.264s,6,1.0737418239999998,58595.17549768519,0.0
125,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,PSR_B0355+54,54d13m10.2s,3h58m53.664s,6,0.0003495253333333333,58806.08243055556,0.0
126,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d48m55.44s,5h42m30.264s,6,0.0003495253333333333,58595.17549768519,0.0
127,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d11m01.32s,14h11m22.296s,6,18.253611007999982,58921.33561342592,0.0
128,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d17m26.88s,14h11m17.472s,6,18.253611008,58702.25212962963,0.0
129,0.0,1,8438.96484375,-0.3662109375,,20,,32,13312,1,,3C295,53d11m01.32s,14h11m22.296s,6,0.000349525333333333,58921.33561342592,0.0
130,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d17m26.88s,14h11m17.472s,6,0.0003495253333333333,58702.25212962963,0.0
131,0.0,1,8438.96484375,-0.00286102294921875,,20,,32,1703936,1,,3C295,53d11m01.32s,14h11m22.296s,6,1.073741823999999,58921.33561342592,0.0
132,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C147,49d51m06.12s,5h42m36.048s,6,18.253611008,58692.78665509259,0.0
133,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,PSR_B0950+08,7d55m35.4s,9h53m09.216s,6,18.253611008,58595.178773148145,0.0
134,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C147,49d51m06.12s,5h42m36.048s,6,1.0737418239999998,58692.78665509259,0.0
135,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C286,31d29m17.88s,13h31m17.088s,6,18.253611008,58616.020162037035,0.0
136,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C147,50d51m07.2s,5h42m36.048s,6,18.253611008,58779.16150462963,0.0
137,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C147,50d51m07.2s,5h42m36.048s,6,1.0737418239999998,58779.16150462963,0.0
138,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,3C147,49d51m06.12s,5h42m36.048s,6,0.0003495253333333333,58692.78665509259,0.0
139,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C147,50d51m07.2s,5h42m36.048s,6,0.0003495253333333333,58779.16150462963,0.0
140,0.0,1,11251.464842353016,-2.7939677238464355e-06,,20,,32,1342177280,1,,3C196,48d13m02.28s,8h13m36.048s,6,18.253611008,58806.193194444444,0.0
141,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C196,48d13m02.28s,8h13m36.048s,6,1.0737418239999998,58806.193194444444,0.0
142,0.0,1,8438.964842353016,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,52d12m30.24s,14h11m27.312s,6,18.253611008,58642.300983796296,0.0
143,0.0,1,11251.28173828125,-0.3662109375,0.0,10,0.0,8,10240,1,,3C196,48d13m02.28s,8h13m36.048s,6,0.0003495253333333333,58806.193194444444,0.0
144,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,0.0003495253333333333,58733.96974537037,0.0
145,0.0,1,11251.28173828125,-0.3662109375,,20,,32,10240,1,,3C286,31d29m17.88s,13h31m17.088s,6,0.0003495253333333333,58616.020162037035,0.0
146,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,1.0737418239999998,58733.96974537037,0.0
147,0.0,1,11251.463413238525,-0.00286102294921875,,20,,32,1310720,1,,3C286,31d29m17.88s,13h31m17.088s,6,1.0737418239999998,58616.020162037035,0.0
148,0.0,1,8438.78173828125,-0.3662109375,0.0,10,0.0,8,13312,1,,PSR_B2021+51,51d54m56.52s,20h23m00.576s,6,0.0003495253333333333,58733.96974537037,0.0
149,0.0,1,8438.78173828125,-0.3662109375,,20,,32,13312,1,,3C295,52d12m30.24s,14h11m27.312s,6,0.0003495253333333333,58642.300983796296,0.0
150,0.0,1,8438.963413238525,-0.00286102294921875,,20,,32,1703936,1,,3C295,52d12m30.24s,14h11m27.312s,6,1.0737418239999998,58642.300983796296,0.0
151,0.0,1,8438.96484375,-2.7939677238464355e-06,,20,,32,1744830464,1,,3C295,53d12m09s,14h11m20.688s,6,18.253611007999982,58921.33710648148,0.0
